"Year","State","Visa_Type","Visa_Stream","Arrival","Departure","Net"
2014,"WA","Temporary","Total",29190,18050,11140
2015,"WA","Temporary","Student",10330,3720,6610
2015,"WA","Temporary","Skilled",3690,4420,-730
2015,"WA","Temporary","Working_Holiday",6700,5050,1650
2015,"WA","Temporary","Visitors",6860,2030,4830
2015,"WA","Temporary","Others",1020,2640,-1620
2015,"WA","Temporary","Total",28600,17860,10740
2016,"WA","Temporary","Student",10040,3830,6210
2016,"WA","Temporary","Skilled",3120,2940,180
2016,"WA","Temporary","Working_Holiday",5360,4240,1120
2016,"WA","Temporary","Visitors",7550,1950,5600
2016,"WA","Temporary","Others",910,2810,-1900
2016,"WA","Temporary","Total",26980,15770,11210
2017,"WA","Temporary","Student",8920,3960,4960
2017,"WA","Temporary","Skilled",2650,2120,530
2017,"WA","Temporary","Working_Holiday",5220,3080,2140
2017,"WA","Temporary","Visitors",7160,2090,5070
2017,"WA","Temporary","Others",950,3250,-2300
2017,"WA","Temporary","Total",24900,14500,10400
2018,"WA","Temporary","Student",10700,3930,6770
2018,"WA","Temporary","Skilled",3200,1880,1320
2018,"WA","Temporary","Working_Holiday",5560,2880,2680
2018,"WA","Temporary","Visitors",8530,2610,5920
2018,"WA","Temporary","Others",1130,3220,-2090
2018,"WA","Temporary","Total",29120,14520,14600
2019,"WA","Temporary","Student",8490,4150,4340
2019,"WA","Temporary","Skilled",2790,1400,1390
2019,"WA","Temporary","Working_Holiday",5870,2840,3030
2019,"WA","Temporary","Visitors",12050,1540,10510
2019,"WA","Temporary","Others",1490,3100,-1610
2019,"WA","Temporary","Total",30690,13030,17660
2020,"WA","Temporary","Student",80,2430,-2350
2020,"WA","Temporary","Skilled",1150,1210,-60
2020,"WA","Temporary","Working_Holiday",80,980,-900
2020,"WA","Temporary","Visitors",810,1380,-570
2020,"WA","Temporary","Others",890,3670,-2780
2020,"WA","Temporary","Total",3010,9670,-6660
2021,"WA","Temporary","Student",7540,1530,6010
2021,"WA","Temporary","Skilled",3360,880,2480
2021,"WA","Temporary","Working_Holiday",2630,660,1970
2021,"WA","Temporary","Visitors",4410,1980,2430
2021,"WA","Temporary","Others",3070,3500,-430
2021,"WA","Temporary","Total",21010,8550,12460
2022,"WA","Temporary","Student",30330,820,29510
2022,"WA","Temporary","Skilled",6960,680,6280
2022,"WA","Temporary","Working_Holiday",11560,480,11080
2022,"WA","Temporary","Visitors",10880,2090,8790
2022,"WA","Temporary","Others",6060,2600,3460
2022,"WA","Temporary","Total",65790,6670,59120
2023,"WA","Temporary","Student",24820,1620,23200
2023,"WA","Temporary","Skilled",8430,860,7570
2023,"WA","Temporary","Working_Holiday",11620,1930,9690
2023,"WA","Temporary","Visitors",8560,1790,6770
2023,"WA","Temporary","Others",4880,4030,850
2023,"WA","Temporary","Total",58310,10230,48080
2014,"TAS","Temporary","Student",1410,540,870
2014,"TAS","Temporary","Skilled",180,80,100
2014,"TAS","Temporary","Working_Holiday",510,380,130
2014,"TAS","Temporary","Visitors",350,100,250
2014,"TAS","Temporary","Others",50,120,-70
2014,"TAS","Temporary","Total",2500,1220,1280
2015,"TAS","Temporary","Student",1280,380,900
2015,"TAS","Temporary","Skilled",210,70,140
2015,"TAS","Temporary","Working_Holiday",480,410,70
2015,"TAS","Temporary","Visitors",420,160,260
2015,"TAS","Temporary","Others",60,140,-80
2015,"TAS","Temporary","Total",2450,1160,1290
2016,"TAS","Temporary","Student",1310,380,930
2016,"TAS","Temporary","Skilled",190,40,150
2016,"TAS","Temporary","Working_Holiday",490,370,120
2016,"TAS","Temporary","Visitors",520,180,340
2016,"TAS","Temporary","Others",60,140,-80
2016,"TAS","Temporary","Total",2570,1110,1460
2017,"TAS","Temporary","Student",1600,410,1190
2017,"TAS","Temporary","Skilled",200,50,150
2017,"TAS","Temporary","Working_Holiday",470,260,210
2017,"TAS","Temporary","Visitors",590,160,430
2017,"TAS","Temporary","Others",150,150,0
2017,"TAS","Temporary","Total",3010,1030,1980
2018,"TAS","Temporary","Student",1700,550,1150
2018,"TAS","Temporary","Skilled",320,60,260
2018,"TAS","Temporary","Working_Holiday",490,310,180
2018,"TAS","Temporary","Visitors",740,260,480
2018,"TAS","Temporary","Others",220,270,-50
2018,"TAS","Temporary","Total",3470,1450,2020
2019,"TAS","Temporary","Student",1140,990,150
2019,"TAS","Temporary","Skilled",130,30,100
2019,"TAS","Temporary","Working_Holiday",380,290,90
2019,"TAS","Temporary","Visitors",1080,130,950
2019,"TAS","Temporary","Others",1350,420,930
2019,"TAS","Temporary","Total",4080,1860,2220
2020,"TAS","Temporary","Student",30,370,-340
2020,"TAS","Temporary","Skilled",60,50,10
2020,"TAS","Temporary","Working_Holiday",10,110,-100
2020,"TAS","Temporary","Visitors",70,150,-80
